MATCH_TYPE_Clean,address,city,dob,employername,lastname,mobile,name,pan,phone,pincode
"city,dob,lastname,name",0,1,1,0,1,0,1,0,0,0
"city,dob,name",0,1,1,0,0,0,1,0,0,0
"address,city,name",1,1,0,0,0,0,1,0,0,0
"address,city,lastname,name",1,1,0,0,1,0,1,0,0,0
"address,city,lastname,name,pincode",1,1,0,0,1,0,1,0,0,1
"city,dob,employername,mobile,name,pan,phone,pincode",0,1,1,1,0,1,1,1,1,1
"address,name,pincode",1,0,0,0,0,0,1,0,0,1
"address,lastname,pincode",1,0,0,0,1,0,0,0,0,1
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"mobile,phone",0,0,0,0,0,1,0,0,1,0
"dob,name",0,0,1,0,0,0,1,0,0,0
"address,city,lastname",1,1,0,0,1,0,0,0,0,0
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,city,employername,lastname,pincode",1,1,0,1,1,0,0,0,0,1
"address,city,employername,lastname,pincode",1,1,0,1,1,0,0,0,0,1
"address,city,lastname",1,1,0,0,1,0,0,0,0,0
"address,city,lastname",1,1,0,0,1,0,0,0,0,0
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,lastname,mobile,name,phone,pincode",1,0,0,0,1,1,1,0,1,1
"address,city,mobile,name,phone,pincode",1,1,0,0,0,1,1,0,1,1
"address,city,name,phone,pincode",1,1,0,0,0,0,1,0,1,1
"address,lastname,name,phone,pincode",1,0,0,0,1,0,1,0,1,1
"address,city,name",1,1,0,0,0,0,1,0,0,0
"address,city,name,pincode",1,1,0,0,0,0,1,0,0,1
"address,city,lastname,name",1,1,0,0,1,0,1,0,0,0
"city,dob,name",0,1,1,0,0,0,1,0,0,0
"address,city,dob,name,pincode",1,1,1,0,0,0,1,0,0,1
"address,city,name,pincode",1,1,0,0,0,0,1,0,0,1
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,dob,lastname,mobile,name,phone,pincode",1,0,1,0,1,1,1,0,1,1
"address,city,name,pincode",1,1,0,0,0,0,1,0,0,1
"address,city,lastname,phone,pincode",1,1,0,0,1,0,0,0,1,1
"address,lastname,name,phone,pincode",1,0,0,0,1,0,1,0,1,1
"address,city,dob,lastname,mobile,name,phone,pincode",1,1,1,0,1,1,1,0,1,1
"address,city,dob,lastname,mobile,name,phone,pincode",1,1,1,0,1,1,1,0,1,1
"address,city,name",1,1,0,0,0,0,1,0,0,0
"address,city,name,pincode",1,1,0,0,0,0,1,0,0,1
"city,dob,name",0,1,1,0,0,0,1,0,0,0
"city,dob,name",0,1,1,0,0,0,1,0,0,0
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,city,lastname,pincode",1,1,0,0,1,0,0,0,0,1
"address,city,mobile,phone,pincode",1,1,0,0,0,1,0,0,1,1
"address,city,mobile,phone,pincode",1,1,0,0,0,1,0,0,1,1
